event_date,user_id,banner_id,impressions,clicks,ctr
2026-01-01,u_00007,b_0082,3,0,0.0
2026-01-01,u_00009,b_0234,3,0,0.0
2026-01-01,u_00012,b_0041,4,0,0.0
2026-01-01,u_00012,b_0215,5,1,0.2
2026-01-01,u_00015,b_0210,5,2,0.4
2026-01-01,u_00015,b_0217,2,0,0.0
2026-01-01,u_00015,b_0288,5,1,0.2
2026-01-01,u_00023,b_0011,7,0,0.0
2026-01-01,u_00025,b_0057,3,0,0.0
2026-01-01,u_00026,b_0066,1,0,0.0
2026-01-01,u_00029,b_0252,9,0,0.0
2026-01-01,u_00032,b_0069,3,0,0.0
2026-01-01,u_00035,b_0124,4,0,0.0
2026-01-01,u_00043,b_0073,4,0,0.0
2026-01-01,u_00045,b_0106,5,0,0.0
2026-01-01,u_00056,b_0134,1,0,0.0
2026-01-01,u_00056,b_0168,6,0,0.0
2026-01-01,u_00057,b_0195,5,0,0.0
2026-01-01,u_00057,b_0210,3,0,0.0
2026-01-01,u_00061,b_0280,3,0,0.0
2026-01-01,u_00063,b_0055,2,0,0.0
2026-01-01,u_00063,b_0266,2,0,0.0
2026-01-01,u_00064,b_0019,8,0,0.0
2026-01-01,u_00065,b_0257,8,0,0.0
2026-01-01,u_00066,b_0080,7,0,0.0
2026-01-01,u_00069,b_0101,5,0,0.0
2026-01-01,u_00073,b_0211,2,0,0.0
2026-01-01,u_00076,b_0155,7,0,0.0
2026-01-01,u_00080,b_0148,7,0,0.0
2026-01-01,u_00082,b_0148,4,0,0.0
2026-01-01,u_00083,b_0090,4,0,0.0
2026-01-01,u_00085,b_0092,5,0,0.0
2026-01-01,u_00085,b_0124,4,0,0.0
2026-01-01,u_00088,b_0265,2,0,0.0
2026-01-01,u_00092,b_0045,2,0,0.0
2026-01-01,u_00097,b_0036,4,0,0.0
2026-01-01,u_00099,b_0084,1,0,0.0
2026-01-01,u_00103,b_0135,2,0,0.0
2026-01-01,u_00108,b_0110,4,0,0.0
2026-01-01,u_00108,b_0179,2,0,0.0
2026-01-01,u_00111,b_0246,3,0,0.0
2026-01-01,u_00115,b_0176,6,0,0.0
2026-01-01,u_00120,b_0059,1,0,0.0
2026-01-01,u_00120,b_0253,7,0,0.0
2026-01-01,u_00127,b_0148,4,1,0.25
2026-01-01,u_00128,b_0202,5,0,0.0
2026-01-01,u_00128,b_0260,2,0,0.0
2026-01-01,u_00130,b_0065,2,0,0.0
2026-01-01,u_00135,b_0190,5,0,0.0
2026-01-01,u_00135,b_0250,3,0,0.0
2026-01-01,u_00137,b_0053,7,0,0.0
2026-01-01,u_00138,b_0011,5,0,0.0
2026-01-01,u_00146,b_0018,3,0,0.0
2026-01-01,u_00146,b_0119,2,0,0.0
